ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5342,Yingkou Dashiqiao LFG Power Generation Project,"Dashiqiao Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,China,"47,601",Asia,,2024-05-29,2034-05-28
5343,STOCK CARBON MAZUAY,Stock Capital Holding LTDA.,Agriculture Forestry and Other Land Use,REDD,VM0007,Under development,Brazil,"35,922",Latin America,,2025-01-01,2044-12-31
5340,YANGMEI XINDADI 16MW CMM POWER GENERATION PROJECT,"Heshun County Yanyan Power Generation Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0008,Registration requested,China,"496,650",Asia,,2023-04-20,2033-04-19
5339,"Biogas Project in Hisar, India",Global Carbon Solutions,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Under development,India,"27,791",Asia,,2024-06-26,2031-06-25
5337,De Aar Hydra Storage,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,South Africa,"440,000",Africa,,,
5336,Shaoyang Xinning LFG Power Generation Project,"Xinning Xinzhongshui Bio-energy Power Generation Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,China,"34,809",Asia,,2023-07-01,2033-06-30
5334,Zhengzhou Lvyuan Food Waste Treatment Project,"Zhengzhou Lvyuan Food Waste Treatment Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,China,"24,201",,,2024-07-23,2034-07-22
5335,Boomitra grassland Restoration in Colombia,Boomitra Inc,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Colombia,"666,484",Latin America,,2022-05-12,2042-05-11
5331,"RE&UP BOTTLE PET RECYCLED CHIPS, FLAKES & NEXT-GEN T2T PET RECYCLED CHIPS PRODUCTION",Re Up Geri Dönüşüm Sanayi ve Ticaret A.Ş. Repet Şube,Waste handling and disposal,,VMR0007,Under validation,Turkey,"32,355",Europe,,2024-01-26,2034-01-25
5333,"Forest Restoration in Mantiqueira, Brazil",The Nature Conservancy,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"15,000",Latin America,,2021-11-08,2061-11-07
5328,PROCARBONO IN BRAZIL,Bayer Crop Science LP,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,"142,830",Latin America,,2022-02-01,2042-01-31
5324,Sembrando Futuro Restoration Project,Fundación Grupo Argos,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Colombia,"10,740",Latin America,,2021-10-30,2031-10-29
5323,Biogas Project PT Rohul Sawit Industri,PT Rohul Sawit Industri,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.H.,Registration requested,Indonesia,"77,739",Asia,,2023-05-01,2030-04-30
5319,Improved cookstoves distribution in Sierra Leone - Northern region,Eni S.p.A.,Energy demand,,VM0050,Under development,Sierra Leone,"76,225",Africa,,,
5320,Improved cookstoves distribution in Sierra Leone - Southern region,Eni S.p.A.,Energy demand,,VM0050,Under development,Sierra Leone,"164,113",Africa,,,
5321,CTDRS Três Rios Landfill Gas,UNIÃO NORTE FLUMINENSE ENGENHARIA E COMERCIO LTDA.,Waste handling and disposal,,ACM0001,Under validation,Brazil,"44,072",Latin America,,2022-07-29,2029-07-28
5317,Grouped Biowaste to biogas project in India,Carbonwatch India Private Limited,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Under development,India,"29,129",,,2025-01-01,2034-12-31
5316,AGROFORESTRY SYSTEMS FOR NATURAL RESOURCE MANAGEMENT,ReNew Power Synergy Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"2,245",Asia,,2024-08-14,2044-08-13
5313,Lichuan City Domestic Waste Landfill Site Biogas Pollution Treatment and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registration requested,China,"45,669",,,2024-09-05,2034-09-04
5314,Shangluo Shangzhou District MSW Disposal Site Biogas Pollution Control and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registration requested,China,"32,121",Asia,,2023-03-23,2033-03-22
5315,Ecobase European Improved Forest Management Project,ECOBASE (PROJECT SPRUCE OÜ),Agriculture Forestry and Other Land Use,IFM,VM0003,Under validation,Estonia,"834,000",Europe,,2024-10-01,2074-09-30
5312,Oya Hybrid Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,South Africa,"475,000",Africa,,,
5310,Ankang Hanbin Landfill Gas Power Generation Project,"Ankang Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration and verification approval requested,China,"72,891",Asia,,2023-04-03,2033-04-02
5311,Dalian Wafangdian LFG Power Generation Project,"Wafangdian Qinghong Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration and verification approval requested,China,"47,890",Asia,,2023-04-14,2033-04-13
5309,Developing Voluntary Carbon Market Project Through Mangrove Plantation in Gujarat,Gujarat Ecological Commission (GEC),Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under development,India,"69,627",Asia,,2022-01-10,2062-01-09
5308,Gashaka Gumti Forest Carbon Project,Africa Nature Investors (ANI) Foundation,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Nigeria,"501,505",Africa,,2025-01-01,2064-12-31
5305,Bella Bosque Vichada Afforestation Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Colombia,512,Latin America,,2024-06-17,2054-06-16
